código_do_plano_de_contas;código_do_período;início;fim;anterior;débito;crédito;atual;movimento;ukey;descrição_do_plano_de_contas;código_auxiliar;períodos_contábeis;tipo_de_período;tipo;origem
"1101020007";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZ9X";"BANCO BRADESCO - C.C. 111345-3";"32";"20250228PHYYBI0QZJ3T";1;2;1
"1101020008";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZ9Y";"BRADESCO AG. 3232 C/C 111441-7";"33";"20250228PHYYBI0QZJ3T";1;2;1
"1101020009";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZ9Z";"BCO. ITAÚ S.A. - 0252/36282-7";"34";"20250228PHYYBI0QZJ3T";1;2;1
"1101020010";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZA0";"RENDIMENTO CHF";"35";"20250228PHYYBI0QZJ3T";1;2;1
"1101020011";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZA1";"BRADESCO AG. 26 C/C 421137";"36";"20250228PHYYBI0QZJ3T";1;2;1
"1101020012";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZA2";"BANCO CITIBANK - C.C. 53149904";"37";"20250228PHYYBI0QZJ3T";1;2;1
"1101020013";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZA3";"BCO. ITAÚ S.A. - 0252/09340-6";"38";"20250228PHYYBI0QZJ3T";1;2;1
"1101020014";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZA4";"BRADESCO AG. 3395-2 C/C 73202-8";"39";"20250228PHYYBI0QZJ3T";1;2;1
"1101020015";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZA5";"BANCO DO BRASIL";"40";"20250228PHYYBI0QZJ3T";1;2;1
"1101020016";"2501";01/01/2025 00:00:00;31/01/2025 00:00:00;0,000000;0,000000;0,000000;0,000000;"M";"20171004OK5TX00OQZA6";"BANCO RENDIMENTO C/C 205915000-2";"41";"20250228PHYYBI0QZJ3T";1;2;1
